timestamp,sales_rank,asin,category,pages,stock_message,avg_review_score,no_reviews
"2023-02-19 01:32:19",82,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5404
"2023-02-19 01:40:56",2179,B63L3OE3QA,Fiction,416,"In stock",4.2,26756
"2023-02-19 01:46:57",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,699
"2023-02-19 02:19:13",9202,B1QLGDCPTN,Fiction,384,"In stock",4.2,13294
"2023-02-19 03:18:01",8,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7101
"2023-02-19 03:18:12",60,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2253
"2023-02-19 04:00:55",132,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8173
"2023-02-19 04:13:36",9,BB6Y3W6PVB,Biographies,416,"In stock",4.1,48751
"2023-02-20 01:01:32",297,BXOF2OQ2RV,"Lifestyle / Family",304,"In stock",4.5,6353
"2023-02-20 01:41:51",123,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5412
"2023-02-20 01:51:05",1338,B63L3OE3QA,Fiction,416,"In stock",4.2,26806
"2023-02-20 01:57:50",2,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,717
"2023-02-20 02:33:07",6919,B1QLGDCPTN,Fiction,384,"In stock",4.2,13311
"2023-02-20 03:39:18",70,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2256
"2023-02-20 03:39:19",7,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7112
"2023-02-20 04:21:26",145,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8173
"2023-02-20 04:36:32",11,BB6Y3W6PVB,Biographies,416,"In stock",4.1,49587
"2023-02-21 01:01:47",210,BXOF2OQ2RV,"Lifestyle / Family",304,"In stock",4.5,6358
"2023-02-21 01:48:00",138,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5423
"2023-02-21 01:58:41",1498,B63L3OE3QA,Fiction,416,"In stock",4.2,26879
"2023-02-21 02:07:00",2,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,750
"2023-02-21 02:45:23",8554,B1QLGDCPTN,Fiction,384,"In stock",4.2,13325
"2023-02-21 04:10:02",70,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2259
"2023-02-21 04:10:11",7,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7129
"2023-02-21 05:14:07",144,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8177
"2023-02-21 05:31:17",11,BB6Y3W6PVB,Biographies,416,"In stock",4.1,50436
