activity_day,product_id,glance_views
2023-02-14,219405,1002
2023-02-14,151323,166
2023-02-14,230626,63
2023-02-14,267629,2726
2023-02-14,255109,2539
2023-02-14,147024,441
2023-02-14,20791,406
2023-02-14,169124,316
2023-02-14,50891,6766
2023-02-15,219405,506
2023-02-15,151323,120
2023-02-15,230626,85
2023-02-15,267629,2238
2023-02-15,255109,2796
2023-02-15,147024,503
2023-02-15,20791,487
2023-02-15,169124,297
2023-02-15,50891,6552
2023-02-16,219405,901
2023-02-16,151323,210
2023-02-16,230626,73
2023-02-16,267629,2366
2023-02-16,255109,3229
2023-02-16,147024,363
2023-02-16,20791,611
2023-02-16,169124,380
2023-02-16,50891,5566
2023-02-17,219405,1014
2023-02-17,151323,219
2023-02-17,230626,60
2023-02-17,267629,1946
2023-02-17,255109,2848
2023-02-17,147024,590
2023-02-17,20791,448
2023-02-17,169124,399
2023-02-17,50891,6729
2023-02-18,219405,770
2023-02-18,151323,257
2023-02-18,230626,89
2023-02-18,267629,2139
2023-02-18,255109,3122
2023-02-18,147024,458
2023-02-18,20791,525
2023-02-18,169124,386
2023-02-18,50891,6522
2023-02-19,219405,740
2023-02-19,151323,287
2023-02-19,230626,104
2023-02-19,267629,2185
2023-02-19,255109,3729
2023-02-19,147024,561
2023-02-19,20791,704
2023-02-19,169124,652
2023-02-19,50891,13812
2023-02-20,219405,1028
2023-02-20,151323,299
2023-02-20,230626,70
2023-02-20,267629,2029
2023-02-20,255109,4029
2023-02-20,147024,530
2023-02-20,20791,942
2023-02-20,169124,399
2023-02-20,50891,8217
2023-02-21,219405,1004
2023-02-21,151323,208
2023-02-21,230626,45
2023-02-21,267629,1879
2023-02-21,255109,3284
2023-02-21,147024,428
2023-02-21,20791,1008
2023-02-21,169124,303
2023-02-21,50891,7978
2023-02-22,151323,181
2023-02-22,230626,59
2023-02-22,267629,2103
2023-02-22,255109,3231
2023-02-22,147024,516
2023-02-22,20791,942
2023-02-22,169124,216
2023-02-22,50891,5164
2023-02-23,219405,862
2023-02-23,151323,109
2023-02-23,230626,58
2023-02-23,267629,2377
2023-02-23,255109,2938
2023-02-23,147024,353
2023-02-23,20791,858
2023-02-23,169124,247
2023-02-23,50891,8004
2023-02-24,219405,1163
2023-02-24,151323,171
2023-02-24,230626,54
2023-02-24,267629,2183
2023-02-24,255109,2607
2023-02-24,147024,397
2023-02-24,20791,831
2023-02-24,169124,232
2023-02-24,50891,6531
2023-02-25,219405,1040
2023-02-25,151323,209
2023-02-25,230626,55
2023-02-25,267629,2509
2023-02-25,255109,2612
2023-02-25,147024,552
2023-02-25,20791,856
2023-02-25,169124,287
2023-02-25,50891,8541
2023-02-26,219405,1175
2023-02-26,151323,248
2023-02-26,230626,84
2023-02-26,267629,1905
2023-02-26,255109,3058
2023-02-26,147024,569
2023-02-26,20791,728
2023-02-26,169124,380
2023-02-26,50891,8319
2023-02-27,219405,4471
2023-02-27,151323,278
2023-02-27,230626,80
2023-02-27,267629,1701
2023-02-27,255109,3392
2023-02-27,147024,539
2023-02-27,20791,597
2023-02-27,169124,399
2023-02-27,50891,7524
2023-02-28,219405,1290
2023-02-28,151323,320
2023-02-28,230626,95
2023-02-28,267629,1757
2023-02-28,255109,3921
2023-02-28,147024,498
2023-02-28,20791,531
2023-02-28,169124,375
2023-02-28,50891,6157
