timestamp,sales_rank,asin,category,region,pages,stockmessage,avg_review_score,no_reviews
2023-02-08 05:32:21,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,38139
2023-02-08 05:15:41,156.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8146
2023-02-08 04:13:15,8.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock.,4.6,6992
2023-02-08 01:50:44,79.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5331
2023-02-08 02:02:56,2413.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26114
2023-02-08 02:54:53,5368.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13129
2023-02-11 04:16:07,9.0,BMGITI1Y7T,Stress,UK,368.0,In stock.,4.6,7022
2023-02-11 02:17:10,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,567
2023-02-11 05:42:19,2.0,BB6Y3W6PVB,Literary Fiction (Books),UK,416.0,In stock.,4.1,41217
2023-02-11 02:56:38,3684.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13169
2023-02-11 01:57:19,91.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock.,4.7,5354
2023-02-11 04:16:18,53.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2214
2023-02-11 05:22:46,204.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8152
2023-02-11 01:04:06,329.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6315
2023-02-11 02:09:16,2460.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26283
2023-02-15 05:27:48,6.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.1,45376
